citation_link,link,method,similarity_link,source,source_case_topic,target,Similarity Type,Similarity Method,Model
False,62003CJ0453-62011CJ0510,law2vec_200,True,62003CJ0453,public health,62011CJ0510,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0453-62004CJ0150,law2vec_200,True,62003CJ0453,public health,62004CJ0150,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0453-62007CJ0440,law2vec_200,True,62003CJ0453,public health,62007CJ0440,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0453-62006CJ0383,law2vec_200,True,62003CJ0453,public health,62006CJ0383,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61983CJ0019,law2vec_200,True,61988CJ0070,public health,61983CJ0019,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61985CJ0282,law2vec_200,True,61988CJ0070,public health,61985CJ0282,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61981CJ0051,law2vec_200,True,61988CJ0070,public health,61981CJ0051,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61983CJ0017,law2vec_200,True,61988CJ0070,public health,61983CJ0017,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61985CJ0232,law2vec_200,True,61988CJ0070,public health,61985CJ0232,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61982CJ0235(01),law2vec_200,True,61988CJ0070,public health,61982CJ0235(01),Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61972CJ0037,law2vec_200,True,61988CJ0070,public health,61972CJ0037,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61979CJ0120,law2vec_200,True,61988CJ0070,public health,61979CJ0120,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61971CJ0088,law2vec_200,True,61988CJ0070,public health,61971CJ0088,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61983CJ0209,law2vec_200,True,61988CJ0070,public health,61983CJ0209,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61987CO0289,law2vec_200,True,61988CJ0070,public health,61987CO0289,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61979CJ0737(01),law2vec_200,True,61988CJ0070,public health,61979CJ0737(01),Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61979CJ0137,law2vec_200,True,61988CJ0070,public health,61979CJ0137,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61967CJ0006,law2vec_200,True,61988CJ0070,public health,61967CJ0006,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61976CJ0110,law2vec_200,True,61988CJ0070,public health,61976CJ0110,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61982CJ0159,law2vec_200,True,61988CJ0070,public health,61982CJ0159,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61977CJ0084,law2vec_200,True,61988CJ0070,public health,61977CJ0084,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61979CJ0814,law2vec_200,True,61988CJ0070,public health,61979CJ0814,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61987CJ0125,law2vec_200,True,61988CJ0070,public health,61987CJ0125,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61988CJ0070-61977CJ0007,law2vec_200,True,61988CJ0070,public health,61977CJ0007,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61979CJ0104,law2vec_200,True,61980CJ0272,public health,61979CJ0104,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61984CJ0012,law2vec_200,True,61980CJ0272,public health,61984CJ0012,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61976CJ0045,law2vec_200,True,61980CJ0272,public health,61976CJ0045,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61981CJ0092,law2vec_200,True,61980CJ0272,public health,61981CJ0092,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61971CJ0029,law2vec_200,True,61980CJ0272,public health,61971CJ0029,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61975CJ0024,law2vec_200,True,61980CJ0272,public health,61975CJ0024,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61984CJ0155,law2vec_200,True,61980CJ0272,public health,61984CJ0155,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61980CJ0194,law2vec_200,True,61980CJ0272,public health,61980CJ0194,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61973CJ0192,law2vec_200,True,61980CJ0272,public health,61973CJ0192,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61981CJ0306,law2vec_200,True,61980CJ0272,public health,61981CJ0306,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61977CJ0073,law2vec_200,True,61980CJ0272,public health,61977CJ0073,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61976CJ0032,law2vec_200,True,61980CJ0272,public health,61976CJ0032,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61963CJ0069,law2vec_200,True,61980CJ0272,public health,61963CJ0069,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61968CJ0021,law2vec_200,True,61980CJ0272,public health,61968CJ0021,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61978CJ0252,law2vec_200,True,61980CJ0272,public health,61978CJ0252,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61982CJ0034,law2vec_200,True,61980CJ0272,public health,61982CJ0034,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61965CJ0002,law2vec_200,True,61980CJ0272,public health,61965CJ0002,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61981CJ0054,law2vec_200,True,61980CJ0272,public health,61981CJ0054,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61981CJ0051,law2vec_200,True,61980CJ0272,public health,61981CJ0051,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61980CJ0272-61965CJ0008,law2vec_200,True,61980CJ0272,public health,61965CJ0008,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62005CJ0342,law2vec_200,True,62009CJ0229,public health,62005CJ0342,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62009CJ0092,law2vec_200,True,62009CJ0229,public health,62009CJ0092,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62004CJ0316,law2vec_200,True,62009CJ0229,public health,62004CJ0316,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62003CJ0098,law2vec_200,True,62009CJ0229,public health,62003CJ0098,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62002CJ0320,law2vec_200,True,62009CJ0229,public health,62002CJ0320,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62002CJ0418,law2vec_200,True,62009CJ0229,public health,62002CJ0418,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62006CJ0435,law2vec_200,True,62009CJ0229,public health,62006CJ0435,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62015CJ0539,law2vec_200,True,62009CJ0229,public health,62015CJ0539,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62002CJ0277,law2vec_200,True,62009CJ0229,public health,62002CJ0277,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62002CJ0144,law2vec_200,True,62009CJ0229,public health,62002CJ0144,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62004CJ0466,law2vec_200,True,62009CJ0229,public health,62004CJ0466,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62008CJ0204,law2vec_200,True,62009CJ0229,public health,62008CJ0204,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62013CJ0117,law2vec_200,True,62009CJ0229,public health,62013CJ0117,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62003CJ0372,law2vec_200,True,62009CJ0229,public health,62003CJ0372,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62010CO0476,law2vec_200,True,62009CJ0229,public health,62010CO0476,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62004CJ0507,law2vec_200,True,62009CJ0229,public health,62004CJ0507,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62001CJ0465,law2vec_200,True,62009CJ0229,public health,62001CJ0465,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62003CJ0041,law2vec_200,True,62009CJ0229,public health,62003CJ0041,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62015CJ0465,law2vec_200,True,62009CJ0229,public health,62015CJ0465,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62009CJ0229-62001CJ0103,law2vec_200,True,62009CJ0229,public health,62001CJ0103,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62003CJ0373,law2vec_200,True,62003CJ0211,public health,62003CJ0373,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62011CJ0152,law2vec_200,True,62003CJ0211,public health,62011CJ0152,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62003CJ0136,law2vec_200,True,62003CJ0211,public health,62003CJ0136,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62003CJ0374,law2vec_200,True,62003CJ0211,public health,62003CJ0374,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62012CJ0292,law2vec_200,True,62003CJ0211,public health,62012CJ0292,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62014CJ0240,law2vec_200,True,62003CJ0211,public health,62014CJ0240,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62011CJ0628,law2vec_200,True,62003CJ0211,public health,62011CJ0628,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62003CJ0444,law2vec_200,True,62003CJ0211,public health,62003CJ0444,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62012CJ0479,law2vec_200,True,62003CJ0211,public health,62012CJ0479,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62010CJ0150,law2vec_200,True,62003CJ0211,public health,62010CJ0150,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62013CJ0530,law2vec_200,True,62003CJ0211,public health,62013CJ0530,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62011CJ0027,law2vec_200,True,62003CJ0211,public health,62011CJ0027,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62007CJ0298,law2vec_200,True,62003CJ0211,public health,62007CJ0298,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62013CJ0319,law2vec_200,True,62003CJ0211,public health,62013CJ0319,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62011CJ0018,law2vec_200,True,62003CJ0211,public health,62011CJ0018,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62011CJ0535,law2vec_200,True,62003CJ0211,public health,62011CJ0535,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62015CJ0539,law2vec_200,True,62003CJ0211,public health,62015CJ0539,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62015CJ0002,law2vec_200,True,62003CJ0211,public health,62015CJ0002,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62011CJ0636,law2vec_200,True,62003CJ0211,public health,62011CJ0636,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62003CJ0211-62003CJ0498,law2vec_200,True,62003CJ0211,public health,62003CJ0498,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61988CJ0004,law2vec_200,True,61987CJ0187,public health,61988CJ0004,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61987CJ0154,law2vec_200,True,61987CJ0187,public health,61987CJ0154,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61985CJ0155,law2vec_200,True,61987CJ0187,public health,61985CJ0155,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61970CJ0039,law2vec_200,True,61987CJ0187,public health,61970CJ0039,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61964CJ0031,law2vec_200,True,61987CJ0187,public health,61964CJ0031,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61986CO0231,law2vec_200,True,61987CJ0187,public health,61986CO0231,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61976CJ0069,law2vec_200,True,61987CJ0187,public health,61976CJ0069,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61988CJ0133,law2vec_200,True,61987CJ0187,public health,61988CJ0133,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61990CJ0323,law2vec_200,True,61987CJ0187,public health,61990CJ0323,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61970CJ0003,law2vec_200,True,61987CJ0187,public health,61970CJ0003,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61984CJ0277,law2vec_200,True,61987CJ0187,public health,61984CJ0277,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61981CJ0056,law2vec_200,True,61987CJ0187,public health,61981CJ0056,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61977CJ0085,law2vec_200,True,61987CJ0187,public health,61977CJ0085,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61970CJ0013,law2vec_200,True,61987CJ0187,public health,61970CJ0013,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61974CJ0066,law2vec_200,True,61987CJ0187,public health,61974CJ0066,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61965CO0009,law2vec_200,True,61987CJ0187,public health,61965CO0009,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61987CJ0045,law2vec_200,True,61987CJ0187,public health,61987CJ0045,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61964CJ0024,law2vec_200,True,61987CJ0187,public health,61964CJ0024,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61976CO0061,law2vec_200,True,61987CJ0187,public health,61976CO0061,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61987CJ0187-61983CO0297,law2vec_200,True,61987CJ0187,public health,61983CO0297,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62005CJ0259,law2vec_200,True,62007CJ0270,public health,62005CJ0259,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62005CJ0007,law2vec_200,True,62007CJ0270,public health,62005CJ0007,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62004CJ0410,law2vec_200,True,62007CJ0270,public health,62004CJ0410,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62011CJ0374,law2vec_200,True,62007CJ0270,public health,62011CJ0374,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62007CJ0161,law2vec_200,True,62007CJ0270,public health,62007CJ0161,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62002CJ0300,law2vec_200,True,62007CJ0270,public health,62002CJ0300,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62005CJ0029,law2vec_200,True,62007CJ0270,public health,62005CJ0029,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62003CJ0140,law2vec_200,True,62007CJ0270,public health,62003CJ0140,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62008CJ0173,law2vec_200,True,62007CJ0270,public health,62008CJ0173,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62010CO0204,law2vec_200,True,62007CJ0270,public health,62010CO0204,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62006CJ0207,law2vec_200,True,62007CJ0270,public health,62006CJ0207,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62006CJ0037,law2vec_200,True,62007CJ0270,public health,62006CJ0037,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62007CO0468,law2vec_200,True,62007CJ0270,public health,62007CO0468,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62007CJ0078,law2vec_200,True,62007CJ0270,public health,62007CJ0078,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62005CJ0192,law2vec_200,True,62007CJ0270,public health,62005CJ0192,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62007CO0122,law2vec_200,True,62007CJ0270,public health,62007CO0122,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62005CJ0050,law2vec_200,True,62007CJ0270,public health,62005CJ0050,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62008CJ0057,law2vec_200,True,62007CJ0270,public health,62008CJ0057,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62007CJ0416,law2vec_200,True,62007CJ0270,public health,62007CJ0416,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62007CJ0270-62009CJ0447,law2vec_200,True,62007CJ0270,public health,62009CJ0447,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62008CJ0492,law2vec_200,True,62005CJ0174,public health,62008CJ0492,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62008CJ0557,law2vec_200,True,62005CJ0174,public health,62008CJ0557,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62005CJ0213,law2vec_200,True,62005CJ0174,public health,62005CJ0213,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62015CJ0570,law2vec_200,True,62005CJ0174,public health,62015CJ0570,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62010CJ0184,law2vec_200,True,62005CJ0174,public health,62010CJ0184,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62003CJ0532,law2vec_200,True,62005CJ0174,public health,62003CJ0532,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62006CO0302,law2vec_200,True,62005CJ0174,public health,62006CO0302,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62011CO0587(01),law2vec_200,True,62005CJ0174,public health,62011CO0587(01),Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62012CJ0576,law2vec_200,True,62005CJ0174,public health,62012CJ0576,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62006CJ0009,law2vec_200,True,62005CJ0174,public health,62006CJ0009,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62005CJ0103,law2vec_200,True,62005CJ0174,public health,62005CJ0103,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62003CJ0104,law2vec_200,True,62005CJ0174,public health,62003CJ0104,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62005CJ0212,law2vec_200,True,62005CJ0174,public health,62005CJ0212,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62006CJ0448,law2vec_200,True,62005CJ0174,public health,62006CJ0448,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62003CJ0336,law2vec_200,True,62005CJ0174,public health,62003CJ0336,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62011CO0600,law2vec_200,True,62005CJ0174,public health,62011CO0600,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62009CO0278,law2vec_200,True,62005CJ0174,public health,62009CO0278,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62007CJ0025,law2vec_200,True,62005CJ0174,public health,62007CJ0025,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62008CJ0134,law2vec_200,True,62005CJ0174,public health,62008CJ0134,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62005CJ0174-62005CJ0198,law2vec_200,True,62005CJ0174,public health,62005CJ0198,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62014CJ0473,law2vec_200,True,62016CJ0078,public health,62014CJ0473,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62016CJ0347,law2vec_200,True,62016CJ0078,public health,62016CJ0347,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62013CJ0065,law2vec_200,True,62016CJ0078,public health,62013CJ0065,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62016CJ0009,law2vec_200,True,62016CJ0078,public health,62016CJ0009,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62015CJ0360,law2vec_200,True,62016CJ0078,public health,62015CJ0360,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62014CJ0334,law2vec_200,True,62016CJ0078,public health,62014CJ0334,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62015CJ0057,law2vec_200,True,62016CJ0078,public health,62015CJ0057,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62014CJ0153,law2vec_200,True,62016CJ0078,public health,62014CJ0153,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62016CJ0054,law2vec_200,True,62016CJ0078,public health,62016CJ0054,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62014CJ0040,law2vec_200,True,62016CJ0078,public health,62014CJ0040,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62011CJ0616,law2vec_200,True,62016CJ0078,public health,62011CJ0616,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62013CJ0291,law2vec_200,True,62016CJ0078,public health,62013CJ0291,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62017CJ0111,law2vec_200,True,62016CJ0078,public health,62017CJ0111,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62015CJ0527,law2vec_200,True,62016CJ0078,public health,62015CJ0527,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62016CJ0670,law2vec_200,True,62016CJ0078,public health,62016CJ0670,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62014CJ0030,law2vec_200,True,62016CJ0078,public health,62014CJ0030,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62016CJ0418,law2vec_200,True,62016CJ0078,public health,62016CJ0418,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62017CJ0459,law2vec_200,True,62016CJ0078,public health,62017CJ0459,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62012CJ0328,law2vec_200,True,62016CJ0078,public health,62012CJ0328,Semantic,Cosine Similarity,Law2Vec Embeddings
False,62016CJ0078-62015CJ0339,law2vec_200,True,62016CJ0078,public health,62015CJ0339,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61973CJ0039-61982CO0010,law2vec_200,True,61973CJ0039,public health,61982CO0010,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61973CJ0039-61969CJ0028,law2vec_200,True,61973CJ0039,public health,61969CJ0028,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61973CJ0039-61984CJ0219,law2vec_200,True,61973CJ0039,public health,61984CJ0219,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61973CJ0039-61972CO0006(01),law2vec_200,True,61973CJ0039,public health,61972CO0006(01),Semantic,Cosine Similarity,Law2Vec Embeddings
False,61973CJ0039-61997CO0361,law2vec_200,True,61973CJ0039,public health,61997CO0361,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61973CJ0039-61970CJ0005,law2vec_200,True,61973CJ0039,public health,61970CJ0005,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61973CJ0039-61998CO0155,law2vec_200,True,61973CJ0039,public health,61998CO0155,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61973CJ0039-61975CJ0054,law2vec_200,True,61973CJ0039,public health,61975CJ0054,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61973CJ0039-61973CJ0115(01),law2vec_200,True,61973CJ0039,public health,61973CJ0115(01),Semantic,Cosine Similarity,Law2Vec Embeddings
False,61973CJ0039-61985CO0358,law2vec_200,True,61973CJ0039,public health,61985CO0358,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61973CJ0039-61979CO0024,law2vec_200,True,61973CJ0039,public health,61979CO0024,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61973CJ0039-61972CJ0033,law2vec_200,True,61973CJ0039,public health,61972CJ0033,Semantic,Cosine Similarity,Law2Vec Embeddings
False,61973CJ0039-61985CJ0319,law2vec_200,True,61973CJ0039,public health,61985CJ0319,Semantic,Cosine Similarity,Law2Vec Embeddings
