,source,target,method,citation_link,source_case_topic,link,Similarity Type,Similarity Method,Model
23,62017CJ0634,62012CJ0233,doc2vec_256_e30,False,public health,62017CJ063462012CJ0233,Semantic,Cosine Similarity,Doc2Vec Embeddings
24,62017CJ0634,62012CJ0299,doc2vec_256_e30,False,public health,62017CJ063462012CJ0299,Semantic,Cosine Similarity,Doc2Vec Embeddings
25,62017CJ0634,62010CJ0113,WMD_256_e30,False,public health,62017CJ063462010CJ0113,Semantic,Word Mover's Distance,Doc2Vec Embeddings
26,62017CJ0634,62010CJ0509,WMD_256_e30,False,public health,62017CJ063462010CJ0509,Semantic,Word Mover's Distance,Doc2Vec Embeddings
27,62017CJ0634,62016CJ0056,WMD_256_e30,False,public health,62017CJ063462016CJ0056,Semantic,Word Mover's Distance,Doc2Vec Embeddings
28,62017CJ0634,62011CJ0545,WMD_256_e30,False,public health,62017CJ063462011CJ0545,Semantic,Word Mover's Distance,Doc2Vec Embeddings
29,62017CJ0634,62014CJ0439,WMD_256_e30,False,public health,62017CJ063462014CJ0439,Semantic,Word Mover's Distance,Doc2Vec Embeddings
30,62017CJ0634,62012CJ0386,Law2Vec-200-WMD,False,public health,62017CJ063462012CJ0386,Semantic,Word Mover's Distance,Law2Vec Embeddings
31,62017CJ0634,62010CJ0113,Law2Vec-200-WMD,False,public health,62017CJ063462010CJ0113,Semantic,Word Mover's Distance,Law2Vec Embeddings
32,62017CJ0634,62015CJ0113,Law2Vec-200-WMD,False,public health,62017CJ063462015CJ0113,Semantic,Word Mover's Distance,Law2Vec Embeddings
33,62017CJ0634,62017CJ0384,Law2Vec-200-WMD,False,public health,62017CJ063462017CJ0384,Semantic,Word Mover's Distance,Law2Vec Embeddings
34,62017CJ0634,62010CJ0509,Law2Vec-200-WMD,False,public health,62017CJ063462010CJ0509,Semantic,Word Mover's Distance,Law2Vec Embeddings
35,62017CJ0634,62015CJ0147,GoogleNews_300,False,public health,62017CJ063462015CJ0147,Semantic,Cosine Similarity,GoogleNews Embeddings
36,62017CJ0634,62015CJ0113,GoogleNews_300,False,public health,62017CJ063462015CJ0113,Semantic,Cosine Similarity,GoogleNews Embeddings
37,62017CJ0634,62016CJ0090,GoogleNews_300,False,public health,62017CJ063462016CJ0090,Semantic,Cosine Similarity,GoogleNews Embeddings
38,62017CJ0634,62014CJ0309,GoogleNews_300,False,public health,62017CJ063462014CJ0309,Semantic,Cosine Similarity,GoogleNews Embeddings
39,62017CJ0634,62014CJ0059,GoogleNews_300,False,public health,62017CJ063462014CJ0059,Semantic,Cosine Similarity,GoogleNews Embeddings
40,62017CJ0634,62010CJ0113,GoogleNews-300-WMD,False,public health,62017CJ063462010CJ0113,Semantic,Word Mover's Distance,GoogleNews Embeddings
41,62017CJ0634,62016CJ0056,GoogleNews-300-WMD,False,public health,62017CJ063462016CJ0056,Semantic,Word Mover's Distance,GoogleNews Embeddings
42,62017CJ0634,62017CJ0476,GoogleNews-300-WMD,False,public health,62017CJ063462017CJ0476,Semantic,Word Mover's Distance,GoogleNews Embeddings
43,62017CJ0634,62010CJ0509,GoogleNews-300-WMD,False,public health,62017CJ063462010CJ0509,Semantic,Word Mover's Distance,GoogleNews Embeddings
44,62017CJ0634,62012CJ0386,GoogleNews-300-WMD,False,public health,62017CJ063462012CJ0386,Semantic,Word Mover's Distance,GoogleNews Embeddings
45,62017CJ0527,62012CJ0109,tfidf-quintgram-nostem,False,public health,62017CJ052762012CJ0109,Syntactic,Index,TF-IDF Quintgrams
46,62017CJ0527,62017CJ0443,tfidf-quintgram-nostem,False,public health,62017CJ052762017CJ0443,Syntactic,Index,TF-IDF Quintgrams
47,62017CJ0527,62011CJ0130,tfidf-quintgram-nostem,False,public health,62017CJ052762011CJ0130,Syntactic,Index,TF-IDF Quintgrams
48,62017CJ0527,62011CO0006,tfidf-quintgram-nostem,False,public health,62017CJ052762011CO0006,Syntactic,Index,TF-IDF Quintgrams
49,62017CJ0527,62013CO0210,tfidf-quintgram-nostem,False,public health,62017CJ052762013CO0210,Syntactic,Index,TF-IDF Quintgrams
50,62017CJ0527,62012CJ0109,tfidf-nostem,False,public health,62017CJ052762012CJ0109,Syntactic,Index,TF-IDF
51,62017CJ0527,62007CJ0140,tfidf-nostem,False,public health,62017CJ052762007CJ0140,Syntactic,Index,TF-IDF
52,62017CJ0527,62003CJ0031,tfidf-nostem,False,public health,62017CJ052762003CJ0031,Syntactic,Index,TF-IDF
53,62017CJ0527,62007CJ0527,tfidf-nostem,False,public health,62017CJ052762007CJ0527,Syntactic,Index,TF-IDF
54,62017CJ0527,62013CJ0104,tfidf-nostem,False,public health,62017CJ052762013CJ0104,Syntactic,Index,TF-IDF
55,62017CJ0527,62012CJ0443,law2vec_200,False,public health,62017CJ052762012CJ0443,Semantic,Cosine Similarity,Law2Vec Embeddings
56,62017CJ0527,62011CJ0621,law2vec_200,False,public health,62017CJ052762011CJ0621,Semantic,Cosine Similarity,Law2Vec Embeddings
57,62017CJ0527,62018CO0800,law2vec_200,False,public health,62017CJ052762018CO0800,Semantic,Cosine Similarity,Law2Vec Embeddings
58,62017CJ0527,62013CJ0132,law2vec_200,False,public health,62017CJ052762013CJ0132,Semantic,Cosine Similarity,Law2Vec Embeddings
59,62017CJ0527,62012CJ0241,law2vec_200,False,public health,62017CJ052762012CJ0241,Semantic,Cosine Similarity,Law2Vec Embeddings
60,62017CJ0527,62017CJ0443,jaccard,False,public health,62017CJ052762017CJ0443,Syntactic,Index,Jaccard Distance
61,62017CJ0527,62012CJ0109,jaccard,False,public health,62017CJ052762012CJ0109,Syntactic,Index,Jaccard Distance
62,62017CJ0527,62011CJ0130,jaccard,False,public health,62017CJ052762011CJ0130,Syntactic,Index,Jaccard Distance
63,62017CJ0527,62017CJ0121,jaccard,False,public health,62017CJ052762017CJ0121,Syntactic,Index,Jaccard Distance
64,62017CJ0527,62014CJ0471,jaccard,False,public health,62017CJ052762014CJ0471,Syntactic,Index,Jaccard Distance
65,62017CJ0527,62017CJ0121,doc2vec_256_e30,False,public health,62017CJ052762017CJ0121,Semantic,Cosine Similarity,Doc2Vec Embeddings
66,62017CJ0527,62014CJ0452,doc2vec_256_e30,False,public health,62017CJ052762014CJ0452,Semantic,Cosine Similarity,Doc2Vec Embeddings
67,62017CJ0527,62013CJ0065,doc2vec_256_e30,False,public health,62017CJ052762013CJ0065,Semantic,Cosine Similarity,Doc2Vec Embeddings
68,62017CJ0527,62012CJ0241,doc2vec_256_e30,False,public health,62017CJ052762012CJ0241,Semantic,Cosine Similarity,Doc2Vec Embeddings
69,62017CJ0527,62015CJ0161,doc2vec_256_e30,False,public health,62017CJ052762015CJ0161,Semantic,Cosine Similarity,Doc2Vec Embeddings
70,62017CJ0527,62012CJ0109,WMD_256_e30,False,public health,62017CJ052762012CJ0109,Semantic,Word Mover's Distance,Doc2Vec Embeddings
71,62017CJ0527,62017CJ0443,WMD_256_e30,False,public health,62017CJ052762017CJ0443,Semantic,Word Mover's Distance,Doc2Vec Embeddings
72,62017CJ0527,62015CJ0046,WMD_256_e30,False,public health,62017CJ052762015CJ0046,Semantic,Word Mover's Distance,Doc2Vec Embeddings
73,62017CJ0527,62014CJ0431,WMD_256_e30,False,public health,62017CJ052762014CJ0431,Semantic,Word Mover's Distance,Doc2Vec Embeddings
74,62017CJ0527,62017CJ0029,WMD_256_e30,False,public health,62017CJ052762017CJ0029,Semantic,Word Mover's Distance,Doc2Vec Embeddings
75,62017CJ0527,62015CJ0572,Law2Vec-200-WMD,False,public health,62017CJ052762015CJ0572,Semantic,Word Mover's Distance,Law2Vec Embeddings
76,62017CJ0527,62016CJ0444,Law2Vec-200-WMD,False,public health,62017CJ052762016CJ0444,Semantic,Word Mover's Distance,Law2Vec Embeddings
77,62017CJ0527,62013CJ0104,Law2Vec-200-WMD,False,public health,62017CJ052762013CJ0104,Semantic,Word Mover's Distance,Law2Vec Embeddings
78,62017CJ0527,62014CJ0431,Law2Vec-200-WMD,False,public health,62017CJ052762014CJ0431,Semantic,Word Mover's Distance,Law2Vec Embeddings
79,62017CJ0527,62012CJ0109,Law2Vec-200-WMD,False,public health,62017CJ052762012CJ0109,Semantic,Word Mover's Distance,Law2Vec Embeddings
80,62017CJ0527,62013CJ0690,GoogleNews_300,False,public health,62017CJ052762013CJ0690,Semantic,Cosine Similarity,GoogleNews Embeddings
81,62017CJ0527,62012CJ0241,GoogleNews_300,False,public health,62017CJ052762012CJ0241,Semantic,Cosine Similarity,GoogleNews Embeddings
82,62017CJ0527,62014CJ0321,GoogleNews_300,False,public health,62017CJ052762014CJ0321,Semantic,Cosine Similarity,GoogleNews Embeddings
83,62017CJ0527,62013CJ0132,GoogleNews_300,False,public health,62017CJ052762013CJ0132,Semantic,Cosine Similarity,GoogleNews Embeddings
84,62017CJ0527,62016CJ0281,GoogleNews_300,False,public health,62017CJ052762016CJ0281,Semantic,Cosine Similarity,GoogleNews Embeddings
85,62017CJ0527,62017CJ0300,GoogleNews-300-WMD,False,public health,62017CJ052762017CJ0300,Semantic,Word Mover's Distance,GoogleNews Embeddings
86,62017CJ0527,62015CJ0572,GoogleNews-300-WMD,False,public health,62017CJ052762015CJ0572,Semantic,Word Mover's Distance,GoogleNews Embeddings
87,62017CJ0527,62015CJ0046,GoogleNews-300-WMD,False,public health,62017CJ052762015CJ0046,Semantic,Word Mover's Distance,GoogleNews Embeddings
88,62017CJ0527,62016CJ0444,GoogleNews-300-WMD,False,public health,62017CJ052762016CJ0444,Semantic,Word Mover's Distance,GoogleNews Embeddings
89,62017CJ0527,62014CJ0166,GoogleNews-300-WMD,False,public health,62017CJ052762014CJ0166,Semantic,Word Mover's Distance,GoogleNews Embeddings
90,62017CJ0396,62017CJ0024,tfidf-quintgram-nostem,False,social policy,62017CJ039662017CJ0024,Syntactic,Index,TF-IDF Quintgrams
91,62017CJ0396,62013CJ0530,tfidf-quintgram-nostem,False,social policy,62017CJ039662013CJ0530,Syntactic,Index,TF-IDF Quintgrams
92,62017CJ0396,62013CJ0417,tfidf-quintgram-nostem,False,social policy,62017CJ039662013CJ0417,Syntactic,Index,TF-IDF Quintgrams
93,62017CJ0396,62016CJ0482,tfidf-quintgram-nostem,False,social policy,62017CJ039662016CJ0482,Syntactic,Index,TF-IDF Quintgrams
94,62017CJ0396,62013CJ0020,tfidf-quintgram-nostem,False,social policy,62017CJ039662013CJ0020,Syntactic,Index,TF-IDF Quintgrams
95,62017CJ0396,62017CJ0024,tfidf-nostem,False,social policy,62017CJ039662017CJ0024,Syntactic,Index,TF-IDF
96,62017CJ0396,62013CJ0530,tfidf-nostem,False,social policy,62017CJ039662013CJ0530,Syntactic,Index,TF-IDF
97,62017CJ0396,62012CJ0501,tfidf-nostem,False,social policy,62017CJ039662012CJ0501,Syntactic,Index,TF-IDF
98,62017CJ0396,62013CJ0417,tfidf-nostem,False,social policy,62017CJ039662013CJ0417,Syntactic,Index,TF-IDF
99,62017CJ0396,62013CJ0020,tfidf-nostem,False,social policy,62017CJ039662013CJ0020,Syntactic,Index,TF-IDF
100,62017CJ0396,62017CJ0024,law2vec_200,False,social policy,62017CJ039662017CJ0024,Semantic,Cosine Similarity,Law2Vec Embeddings
101,62017CJ0396,62012CJ0501,law2vec_200,False,social policy,62017CJ039662012CJ0501,Semantic,Cosine Similarity,Law2Vec Embeddings
102,62017CJ0396,62017CJ0159,law2vec_200,False,social policy,62017CJ039662017CJ0159,Semantic,Cosine Similarity,Law2Vec Embeddings
103,62017CJ0396,62015CJ0379,law2vec_200,False,social policy,62017CJ039662015CJ0379,Semantic,Cosine Similarity,Law2Vec Embeddings
104,62017CJ0396,62015CJ0435,law2vec_200,False,social policy,62017CJ039662015CJ0435,Semantic,Cosine Similarity,Law2Vec Embeddings
105,62017CJ0396,62017CJ0024,jaccard,False,social policy,62017CJ039662017CJ0024,Syntactic,Index,Jaccard Distance
106,62017CJ0396,62013CJ0530,jaccard,False,social policy,62017CJ039662013CJ0530,Syntactic,Index,Jaccard Distance
107,62017CJ0396,62013CJ0417,jaccard,False,social policy,62017CJ039662013CJ0417,Syntactic,Index,Jaccard Distance
108,62017CJ0396,62016CJ0482,jaccard,False,social policy,62017CJ039662016CJ0482,Syntactic,Index,Jaccard Distance
109,62017CJ0396,62012CJ0501,jaccard,False,social policy,62017CJ039662012CJ0501,Syntactic,Index,Jaccard Distance
110,62017CJ0396,62016CJ0396,doc2vec_256_e30,False,social policy,62017CJ039662016CJ0396,Semantic,Cosine Similarity,Doc2Vec Embeddings
111,62017CJ0396,62014CJ0528,doc2vec_256_e30,False,social policy,62017CJ039662014CJ0528,Semantic,Cosine Similarity,Doc2Vec Embeddings
112,62017CJ0396,62017CJ0591,doc2vec_256_e30,False,social policy,62017CJ039662017CJ0591,Semantic,Cosine Similarity,Doc2Vec Embeddings
113,62017CJ0396,62015CO0281,doc2vec_256_e30,False,social policy,62017CJ039662015CO0281,Semantic,Cosine Similarity,Doc2Vec Embeddings
114,62017CJ0396,62014CJ0554,doc2vec_256_e30,False,social policy,62017CJ039662014CJ0554,Semantic,Cosine Similarity,Doc2Vec Embeddings
115,62017CJ0396,62017CJ0024,WMD_256_e30,False,social policy,62017CJ039662017CJ0024,Semantic,Word Mover's Distance,Doc2Vec Embeddings
116,62017CJ0396,62013CJ0530,WMD_256_e30,False,social policy,62017CJ039662013CJ0530,Semantic,Word Mover's Distance,Doc2Vec Embeddings
117,62017CJ0396,62013CJ0113,WMD_256_e30,False,social policy,62017CJ039662013CJ0113,Semantic,Word Mover's Distance,Doc2Vec Embeddings
118,62017CJ0396,62010CJ0556,WMD_256_e30,False,social policy,62017CJ039662010CJ0556,Semantic,Word Mover's Distance,Doc2Vec Embeddings
119,62017CJ0396,62012CJ0501,WMD_256_e30,False,social policy,62017CJ039662012CJ0501,Semantic,Word Mover's Distance,Doc2Vec Embeddings
120,62017CJ0396,62017CJ0024,Law2Vec-200-WMD,False,social policy,62017CJ039662017CJ0024,Semantic,Word Mover's Distance,Law2Vec Embeddings
121,62017CJ0396,62013CJ0530,Law2Vec-200-WMD,False,social policy,62017CJ039662013CJ0530,Semantic,Word Mover's Distance,Law2Vec Embeddings
122,62017CJ0396,62015CJ0048,Law2Vec-200-WMD,False,social policy,62017CJ039662015CJ0048,Semantic,Word Mover's Distance,Law2Vec Embeddings
123,62017CJ0396,62004CJ0344,Law2Vec-200-WMD,False,social policy,62017CJ039662004CJ0344,Semantic,Word Mover's Distance,Law2Vec Embeddings
124,62017CJ0396,62015CJ0544,Law2Vec-200-WMD,False,social policy,62017CJ039662015CJ0544,Semantic,Word Mover's Distance,Law2Vec Embeddings
125,62017CJ0396,62015CJ0327,GoogleNews_300,False,social policy,62017CJ039662015CJ0327,Semantic,Cosine Similarity,GoogleNews Embeddings
126,62017CJ0396,62017CJ0635,GoogleNews_300,False,social policy,62017CJ039662017CJ0635,Semantic,Cosine Similarity,GoogleNews Embeddings
127,62017CJ0396,62015CJ0379,GoogleNews_300,False,social policy,62017CJ039662015CJ0379,Semantic,Cosine Similarity,GoogleNews Embeddings
128,62017CJ0396,62017CJ0024,GoogleNews_300,False,social policy,62017CJ039662017CJ0024,Semantic,Cosine Similarity,GoogleNews Embeddings
129,62017CJ0396,62017CJ0159,GoogleNews_300,False,social policy,62017CJ039662017CJ0159,Semantic,Cosine Similarity,GoogleNews Embeddings
130,62017CJ0396,62017CJ0024,GoogleNews-300-WMD,False,social policy,62017CJ039662017CJ0024,Semantic,Word Mover's Distance,GoogleNews Embeddings
131,62017CJ0396,62015CJ0339,GoogleNews-300-WMD,False,social policy,62017CJ039662015CJ0339,Semantic,Word Mover's Distance,GoogleNews Embeddings
132,62017CJ0396,62013CJ0530,GoogleNews-300-WMD,False,social policy,62017CJ039662013CJ0530,Semantic,Word Mover's Distance,GoogleNews Embeddings
133,62017CJ0396,62012CJ0293,GoogleNews-300-WMD,False,social policy,62017CJ039662012CJ0293,Semantic,Word Mover's Distance,GoogleNews Embeddings
134,62017CJ0396,62004CJ0344,GoogleNews-300-WMD,False,social policy,62017CJ039662004CJ0344,Semantic,Word Mover's Distance,GoogleNews Embeddings
135,62017CJ0367,62001CJ0108,tfidf-quintgram-nostem,False,public health,62017CJ036762001CJ0108,Syntactic,Index,TF-IDF Quintgrams
136,62017CJ0367,61997CJ0129,tfidf-quintgram-nostem,False,public health,62017CJ036761997CJ0129,Syntactic,Index,TF-IDF Quintgrams
137,62017CJ0367,62005CJ0132,tfidf-quintgram-nostem,False,public health,62017CJ036762005CJ0132,Syntactic,Index,TF-IDF Quintgrams
138,62017CJ0367,62007CJ0343,tfidf-quintgram-nostem,False,public health,62017CJ036762007CJ0343,Syntactic,Index,TF-IDF Quintgrams
139,62017CJ0367,61998CJ0312,tfidf-quintgram-nostem,False,public health,62017CJ036761998CJ0312,Syntactic,Index,TF-IDF Quintgrams
140,62017CJ0367,62001CJ0108,tfidf-nostem,False,public health,62017CJ036762001CJ0108,Syntactic,Index,TF-IDF
141,62017CJ0367,62008CJ0120,tfidf-nostem,False,public health,62017CJ036762008CJ0120,Syntactic,Index,TF-IDF
142,62017CJ0367,61997CJ0129,tfidf-nostem,False,public health,62017CJ036761997CJ0129,Syntactic,Index,TF-IDF
143,62017CJ0367,62007CJ0343,tfidf-nostem,False,public health,62017CJ036762007CJ0343,Syntactic,Index,TF-IDF
144,62017CJ0367,62007CJ0478,tfidf-nostem,False,public health,62017CJ036762007CJ0478,Syntactic,Index,TF-IDF
145,62017CJ0367,62016CO0361,law2vec_200,False,public health,62017CJ036762016CO0361,Semantic,Cosine Similarity,Law2Vec Embeddings
146,62017CJ0367,62011CJ0112,law2vec_200,False,public health,62017CJ036762011CJ0112,Semantic,Cosine Similarity,Law2Vec Embeddings
147,62017CJ0367,62012CJ0222,law2vec_200,False,public health,62017CJ036762012CJ0222,Semantic,Cosine Similarity,Law2Vec Embeddings
148,62017CJ0367,62013CJ0565,law2vec_200,False,public health,62017CJ036762013CJ0565,Semantic,Cosine Similarity,Law2Vec Embeddings
149,62017CJ0367,62011CO0368,law2vec_200,False,public health,62017CJ036762011CO0368,Semantic,Cosine Similarity,Law2Vec Embeddings
150,62017CJ0367,62001CJ0108,jaccard,False,public health,62017CJ036762001CJ0108,Syntactic,Index,Jaccard Distance
151,62017CJ0367,62000CJ0469,jaccard,False,public health,62017CJ036762000CJ0469,Syntactic,Index,Jaccard Distance
152,62017CJ0367,62016CJ0289,jaccard,False,public health,62017CJ036762016CJ0289,Syntactic,Index,Jaccard Distance
153,62017CJ0367,62017CJ0169,jaccard,False,public health,62017CJ036762017CJ0169,Syntactic,Index,Jaccard Distance
154,62017CJ0367,62009CJ0161,jaccard,True,public health,62017CJ036762009CJ0161,Syntactic,Index,Jaccard Distance
155,62017CJ0367,62016CJ0111,doc2vec_256_e30,False,public health,62017CJ036762016CJ0111,Semantic,Cosine Similarity,Doc2Vec Embeddings
156,62017CJ0367,62016CO0180,doc2vec_256_e30,False,public health,62017CJ036762016CO0180,Semantic,Cosine Similarity,Doc2Vec Embeddings
157,62017CJ0367,62015CJ0398,doc2vec_256_e30,False,public health,62017CJ036762015CJ0398,Semantic,Cosine Similarity,Doc2Vec Embeddings
158,62017CJ0367,62016CO0032,doc2vec_256_e30,False,public health,62017CJ036762016CO0032,Semantic,Cosine Similarity,Doc2Vec Embeddings
159,62017CJ0367,62013CJ0170,doc2vec_256_e30,False,public health,62017CJ036762013CJ0170,Semantic,Cosine Similarity,Doc2Vec Embeddings
160,62017CJ0367,62015CJ0671,WMD_256_e30,False,public health,62017CJ036762015CJ0671,Semantic,Word Mover's Distance,Doc2Vec Embeddings
161,62017CJ0367,62016CJ0393,WMD_256_e30,False,public health,62017CJ036762016CJ0393,Semantic,Word Mover's Distance,Doc2Vec Embeddings
162,62017CJ0367,62017CJ0614,WMD_256_e30,False,public health,62017CJ036762017CJ0614,Semantic,Word Mover's Distance,Doc2Vec Embeddings
163,62017CJ0367,62015CJ0113,WMD_256_e30,False,public health,62017CJ036762015CJ0113,Semantic,Word Mover's Distance,Doc2Vec Embeddings
164,62017CJ0367,62016CJ0056,WMD_256_e30,False,public health,62017CJ036762016CJ0056,Semantic,Word Mover's Distance,Doc2Vec Embeddings
165,62017CJ0367,62016CJ0393,Law2Vec-200-WMD,False,public health,62017CJ036762016CJ0393,Semantic,Word Mover's Distance,Law2Vec Embeddings
166,62017CJ0367,62011CJ0024,Law2Vec-200-WMD,False,public health,62017CJ036762011CJ0024,Semantic,Word Mover's Distance,Law2Vec Embeddings
167,62017CJ0367,62017CJ0670,Law2Vec-200-WMD,False,public health,62017CJ036762017CJ0670,Semantic,Word Mover's Distance,Law2Vec Embeddings
168,62017CJ0367,62007CJ0527,Law2Vec-200-WMD,False,public health,62017CJ036762007CJ0527,Semantic,Word Mover's Distance,Law2Vec Embeddings
169,62017CJ0367,62016CJ0408,Law2Vec-200-WMD,False,public health,62017CJ036762016CJ0408,Semantic,Word Mover's Distance,Law2Vec Embeddings
170,62017CJ0367,62012CJ0222,GoogleNews_300,False,public health,62017CJ036762012CJ0222,Semantic,Cosine Similarity,GoogleNews Embeddings
171,62017CJ0367,62011CJ0461,GoogleNews_300,False,public health,62017CJ036762011CJ0461,Semantic,Cosine Similarity,GoogleNews Embeddings
172,62017CJ0367,62011CJ0112,GoogleNews_300,False,public health,62017CJ036762011CJ0112,Semantic,Cosine Similarity,GoogleNews Embeddings
173,62017CJ0367,62012CJ0466,GoogleNews_300,False,public health,62017CJ036762012CJ0466,Semantic,Cosine Similarity,GoogleNews Embeddings
174,62017CJ0367,62011CJ0509,GoogleNews_300,False,public health,62017CJ036762011CJ0509,Semantic,Cosine Similarity,GoogleNews Embeddings
175,62017CJ0367,62013CJ0213,GoogleNews-300-WMD,False,public health,62017CJ036762013CJ0213,Semantic,Word Mover's Distance,GoogleNews Embeddings
176,62017CJ0367,62016CJ0408,GoogleNews-300-WMD,False,public health,62017CJ036762016CJ0408,Semantic,Word Mover's Distance,GoogleNews Embeddings
177,62017CJ0367,62007CJ0527,GoogleNews-300-WMD,False,public health,62017CJ036762007CJ0527,Semantic,Word Mover's Distance,GoogleNews Embeddings
178,62017CJ0367,62015CJ0671,GoogleNews-300-WMD,False,public health,62017CJ036762015CJ0671,Semantic,Word Mover's Distance,GoogleNews Embeddings
179,62017CJ0367,62017CJ0535,GoogleNews-300-WMD,False,public health,62017CJ036762017CJ0535,Semantic,Word Mover's Distance,GoogleNews Embeddings
180,62017CJ0068,62016CJ0414,tfidf-quintgram-nostem,False,social policy,62017CJ006862016CJ0414,Syntactic,Index,TF-IDF Quintgrams
181,62017CJ0068,62017CJ0193,tfidf-quintgram-nostem,False,social policy,62017CJ006862017CJ0193,Syntactic,Index,TF-IDF Quintgrams
182,62017CJ0068,62016CJ0684,tfidf-quintgram-nostem,False,social policy,62017CJ006862016CJ0684,Syntactic,Index,TF-IDF Quintgrams
183,62017CJ0068,62016CJ0569,tfidf-quintgram-nostem,False,social policy,62017CJ006862016CJ0569,Syntactic,Index,TF-IDF Quintgrams
184,62017CJ0068,62015CJ0188,tfidf-quintgram-nostem,False,social policy,62017CJ006862015CJ0188,Syntactic,Index,TF-IDF Quintgrams
185,62017CJ0068,62016CJ0414,tfidf-nostem,False,social policy,62017CJ006862016CJ0414,Syntactic,Index,TF-IDF
186,62017CJ0068,62017CJ0193,tfidf-nostem,False,social policy,62017CJ006862017CJ0193,Syntactic,Index,TF-IDF
187,62017CJ0068,62015CJ0188,tfidf-nostem,False,social policy,62017CJ006862015CJ0188,Syntactic,Index,TF-IDF
188,62017CJ0068,62015CJ0157,tfidf-nostem,False,social policy,62017CJ006862015CJ0157,Syntactic,Index,TF-IDF
189,62017CJ0068,62007CJ0555,tfidf-nostem,False,social policy,62017CJ006862007CJ0555,Syntactic,Index,TF-IDF
190,62017CJ0068,62016CJ0289,law2vec_200,False,social policy,62017CJ006862016CJ0289,Semantic,Cosine Similarity,Law2Vec Embeddings
191,62017CJ0068,62014CJ0339,law2vec_200,False,social policy,62017CJ006862014CJ0339,Semantic,Cosine Similarity,Law2Vec Embeddings
192,62017CJ0068,62017CJ0329,law2vec_200,False,social policy,62017CJ006862017CJ0329,Semantic,Cosine Similarity,Law2Vec Embeddings
193,62017CJ0068,62017CJ0694,law2vec_200,False,social policy,62017CJ006862017CJ0694,Semantic,Cosine Similarity,Law2Vec Embeddings
194,62017CJ0068,62017CJ0485,law2vec_200,False,social policy,62017CJ006862017CJ0485,Semantic,Cosine Similarity,Law2Vec Embeddings
